unique_id,mean,std,cv,trend_strength,seasonality_strength,acf1,acf_seasonal,diff_acf1,skewness,kurtosis,length,cluster
M10000,3525.6521739130435,1225.0483318011977,0.3474671554005124,0.7120350995182845,0.0,0.9472168614846512,0.3816485249648991,0.14703376377444324,0.9699821667649802,0.28851334934899775,69,0
M10756,2355.8823529411766,360.3330511177083,0.15295035877655533,0.9963922990753453,0.9865305249332301,0.9527118714862326,0.8966799696199244,0.6420260539798627,-0.3143576636709828,-0.742115523235304,306,0
M10766,8038.7970588235285,397.7162458917808,0.04947459712958424,0.8281603091608725,0.0,0.9357486378098703,0.4338419628454455,-0.3125368156881891,-1.137398893431912,0.5255817978394526,102,0
M10885,1388.901098901099,193.28536410399622,0.1391642387329983,0.9911546817980532,0.05392878229742315,0.9882267766593357,0.8448911431904711,-0.07802070170763173,0.9817007907410357,-0.5540413227805949,273,0
M11278,1719.7156862745098,288.02641641232566,0.16748490387750606,0.9983499218566134,0.79434104821407,0.9863780222349915,0.8630520399480239,0.02821754523855663,-0.4565201863171683,-0.9359598671359377,306,0
M11531,2497.830065359477,71.57534453809748,0.028655009614433746,0.9767400501781911,0.942994883616957,0.8520871334096528,0.8126172815447809,0.09733601673958736,-0.01338005211318792,-0.4558039866773731,306,0
M12187,2374.5686274509803,83.81006886534665,0.03529486067341585,0.4936674828359422,0.1057563437804695,0.6513549088943477,0.2143040420913958,-0.3017146151074339,-0.31524091324063513,-0.4288028678830669,102,1
M12226,2039.7058823529412,151.55914664815907,0.07430441219953005,0.9870919824367178,0.9118907335425455,0.9493618007522061,0.9029271475844481,0.15332249999588557,-0.2780265121626098,-0.8685159420180031,306,0
M12319,3567.418300653595,349.1083902770286,0.09786023416796052,0.9864393152134546,0.14421533164433764,0.9885794128581469,0.8804864132697102,-0.03675929298713312,-0.4952913159686537,-0.9933337780447529,306,0
M12437,2777.8627450980393,76.02734791954882,0.027369008081378612,0.8039448337179999,0.4337923163484628,0.8525390473053649,0.31223828721694435,-0.25608015155414227,-0.3263971930997464,-0.9653508281579479,102,0
M12517,7281.9784313725495,1123.243008263673,0.15424970272151128,0.9934974505006693,0.5410306119014173,0.9757695040732858,0.7297166139773841,-0.3700850043366779,0.22057903327256015,-1.5722594637400162,102,0
M12575,3532.450980392157,196.101395714053,0.05551425817444258,0.9733653340307945,0.7546474506832749,0.9491129929938094,0.831205246053465,0.07666562554783174,-0.5650165552759994,-0.23468110604711123,306,0
M12676,1321.81045751634,56.80982512303336,0.04297879835946985,0.9812856984742927,0.9436702745984056,0.8723798525261861,0.9052959172954095,0.1614498031263424,0.4573374904836956,-0.5374811648025393,306,0
M1285,1247.2222222222222,168.35151220893619,0.13498116791807802,0.9961141202675162,0.17999998960620456,0.9948661202923452,0.920055988396963,0.049332580219767684,-0.25264861336663536,-1.3356689439632774,306,0
M13037,5971.143790849673,1522.6257631533458,0.2549973366052003,0.9972306002805875,0.7272174749823457,0.9889725992525851,0.8566380653305546,0.34094157296746036,-0.85899231289828,-0.5483456455279989,306,0
M13410,9768.06274509804,945.553028958639,0.0968004663394644,0.9556860017876653,0.38551958555494314,0.9036867269091488,0.6088616660905986,-0.48385044036760755,-0.38361311012831373,-0.980347455589607,102,0
M13525,2900.4950495049507,1219.6934984550473,0.42051218072694924,0.866109959821773,0.0,0.9023930558181326,0.3638379693529923,-0.07160500930010436,0.6701580012462002,0.1564802906046574,101,0
M14346,5349.795136612022,1078.736933502846,0.20164079295679355,0.9310897094556788,0.06439563250961877,0.9882697926307017,0.5511109468968117,0.5508908892529463,0.6762940116018265,0.2276454370784542,366,0
M14570,2494.7418546365916,1296.0266253289215,0.5195032996781598,0.9916717393970815,0.9729817245129629,0.8077769856081326,0.9155279687249002,-0.287035635199274,0.9718157842452098,1.8380784359542788,399,0
M15094,1422.2406260571427,208.84222197327034,0.14684028718279596,0.8250189053523855,0.932490541046843,0.5930899314183932,0.8486243244242961,0.27259785929535957,0.46562897088058564,-0.3910732433066264,175,0
M15185,5694.211320754717,643.6954880852238,0.11304383554207603,0.8043905999075295,0.3751020725273039,0.8526876741751388,0.6303816355008544,-0.17377755138600715,-0.36517393778587515,-0.14804173108956764,159,0
M15704,1480.2105263157894,519.4410942691312,0.35092379430783294,0.8664861358283966,0.9290979219698027,0.7156209600968678,0.8520979821025852,0.1858740241182313,1.3696460351997806,1.803535506537488,190,0
M15759,8818.613099041535,2377.838481454517,0.26963859903468906,0.9564862771383915,0.04192014249903653,0.9743331975017709,0.7940342058019385,-0.20179195327171828,0.2842168355324686,-1.4429097816234646,313,0
M15984,8526.553943217665,6007.765609175119,0.7045948045580497,0.9891046611572673,0.0,0.993595894516843,0.9002113124674913,-0.029592391249449738,0.8573018670911934,-0.743555906503294,317,0
M16153,4226.6031861198735,786.2351981037018,0.18602058520319367,0.9786319080688837,0.05767163200555414,0.9851541000045977,0.8249051724485265,-0.13561600894550369,-0.17897117486553663,-1.0030774376319802,317,0
M16472,1877.5444794952684,293.0837743891975,0.1560995106054616,0.8777964480795664,0.03430147947264661,0.935300864634536,0.6822928546867617,-0.17899284351579706,0.293897347265533,-0.44041011456864565,317,0
